cif,formula
1503531,P2 H88.0 C60 N2 O18 F12
1503533,H76 C48 N4 O24
1503534,H100 C56 S4 N4 O24
1503537,H120 C132 S8 N16 O16
1503540,H72 C64 O24
1503541,P8 H132 C128 S4 N20 F48
1503542,P4 H24 C24 S2 N4 F24
1503543,H24 C40 S8 N8
1503544,H232 C172 N36 Cl4 O28
1503551,H84 C52 Cl4 O16
1503553,H68 C44 Cl4 O8
1503554,H92 C60 Cl4 O16
1503558,P4 H144 C104 N20 O44
1503561,H112 C104 N16 O16
1503562,H72 C60 N8
1503566,H40 C40 N2 O6 F2
1503569,H160 C168 N16 O40
1503574,Cu4 P4 H80 C84 N16 F24
1503578,H100 C92 N4
1503580,H68 C56 S4 N4 O12
1503585,H60 C60 N4 O8
1503595,Si4 H98 C78 N10 O2
1503600,H46 C46 I2 N4 O16
1503605,H184 C112 N8 O32
1503609,Co4 H172 C252 O24
1503613,Si2 H84 C58 Br2 N2 O8
1503617,H100 C56 N4 O20
1503620,H120 C80 O20
1503623,H176 C152 O32
1503636,H48 C36 N4 O4
1503637,H112 C136 N16 O8
1503647,H48 C64 N8 O16
1503649,H68 C88 S4 N4 O4
1503650,H64 C60 Br2 N6 O6
1503653,H52 C52 N12 O10 F4
1503656,H72 C84 N20 Cl8 O8
1503658,H60 C92 S4 N12
1503662,H104 C112 S16 N8 O24
1503664,H52 C34 N4 O4
1503666,H120 C66 N12 O12
1503669,H96 C84 S4 O32
1503678,H76 C68 N4 O16
1503688,H132 C108 Br4 O16
1503689,H72 C48 O28
1503694,H48 C30 O4
1503696,H208 C128 S4 O20
1503698,H108 C104 O24
1503699,H144 C104 O36
1503702,H144 C116 O44
1503703,H176 C140 O44
1503712,H76 C96 Br4 N8 O8
1503716,H68 C60 N4 O28
1503719,P8 H128 Pd4 C176 Br8
1503720,H134 C88 N18 O8
1503722,H72 C80 N8 O16
1503730,P4 H92 C100 S4 Br4 N4 O12
1503731,P4 H96 C92 S4 N4 O4
1503739,H144 C112 N8 O8
1503740,H224 C176 N16 O16
1503742,H44 C34 S2 O6
1503750,H56 C50 N8 O6
1503751,B4 H80 C60 N12 F16.0
1503754,H84 C88 Cl4 O4
1503757,H88 C60 O24
1503765,H84 C72 Br4 O20
1503767,H44 C40 S8 N4
1503769,Si4 H100 C76 F4
1503772,H100 C120 N4 O8
1503776,H68 C56 S4 N8 O16 F12
1503785,H128 Pd4 C152 S8 N16 O35.2 F24
1503788,H104 C84 S8 O36
1503791,H94 C71 S4 O21
1503794,H88 C80 O16
1503797,H110 C96 N10 O8 F12
1503799,H160 C108 N12 O32
1503804,H36 C30 N8 O6
1503808,Te24 H192 C144 O48
1503809,H64 C48 Se8 O16
1503828,Si2 H88 C50 O8
1503832,Hg4 H140 C148 S8 N28 O40
1503836,H72 C78 Br6 O6
1503841,H36 C46 Br2 N4 Cl2 O8
1503847,H104 C104 N8 O8 F48
1503849,H152 C104 N8 O8
1503850,H136 C96 N8 O8
1503855,H116 C100 N4 O20
1503857,H136 C124 Br4 N4 O8
1503860,H32 C68 O4 F8
1503866,H52 C56 Cl4 O8
1503876,B8 P8 H160 C96 O16
1503885,B24 H52 C8 N16 O4
1503886,B24 H52 C16 N8
1503889,B2 H70 C54 N4 F4
1503895,P4 H112 Pd4 C104 N4 Cl8 O4
1503896,P4 H128 Pd4 C112 N4 Cl32 O4
1503897,H72 C44 N16 O8
1503898,H76 C48 N16 O10
1503899,H92 C60 N16 Cl12 O8
1503900,H52 C56 S8 N4 O12 F8
1503902,H34 C38 N2 O6
1503903,H36 C32 I2 N2 O6
1503904,H92 C80 Br4 O20
1503924,H72 C48 S4 N4 Cl12 O16
1503929,H128 C128 O56
1503934,H104 C72 N8 O20
1503943,H120 C80 N40 O24
1503945,H176 C200 O48
1503948,H112 C160 I8 O8
1503949,H76 C114 I4 Cl4 O4
1503951,H200 C160 N8 O16
1503953,Zn2 H132 C172 N16 Cl12 O6
1503963,H96 C80 O20
1503965,H68 C56 N4 O8
1503968,H56 C48 N8 O8
1503969,H96 C88 S2
1503972,H96 C80 O16
1503975,H48 C295.2 S9.6 N8 O25.2
1503979,H56 C76 N8 O24
1503980,H72 C68 N4 Cl4 O24
1503984,H84 C76 N4 O20
1503988,H64 C72 N8 O12
1503989,H168 C144 N8 O40
1503993,H124 C144 S4 N4 O12
1503997,H140 C132 Cl4 O44
1504001,Ni4 H124 C176 Br4 N16 O2
1504005,H24 C40 S8 O4
1504010,H46 C36 N2 O12
1504011,H64 C36 O16
1504013,H50 C56 S4 N2
1504017,H40 C56 O4
1504018,H124 C172 Cl12 O8
1504027,H68 C60 N4 O8
1504032,H128 C120 Br8 N8 O16
1504041,Fe4 P8 H152 C164 N8 O4
1504048,H124 C56 S4 N4 O12
1504050,H30 C36 N6 O6
1504057,H76 C80 N4 O16
1504062,H64 C48 O12
1504063,H104 C84 O24
1504066,H68 C64 N4 O12
1504068,H112 C96 S8 O24
1504069,Mn4 H144 C136 S8 N16 O24 F24
1504070,Mn4 H160 C168 S8 N16 O24 F24
1504074,H96 C132 O4
1504088,H72 C72 N4 Cl12 O12
1504092,H160 C184 O16
1504095,H80 C112 O4
1504106,H104 C108 N8 O12
1504107,H224 C200 N16 O24
1504108,H192 C120 N8 O52
1504109,H116 C64 Br4 N16 O20
1504111,Si2 H40 C44
1504117,H128 C160 S16 N16 O32
1504119,H60 C68 I4 N8 O8
1504120,H46 C54 S2 N2 O8
1504125,H42 C36 O12
1504129,H40 C40 O14
1504137,H100 C100 N4 O16
1504144,H64 C80
1504152,H76 C42 N4 O14
1504164,H160 C180 N16 O22
1504169,H108 C100 N12 O12
1504172,Si4 H76 C52 N8
1504173,Si4 H120 C108 N16 O8
1504182,H144 C96 N8 Cl4 O28
1504186,H72 C64 O20
1504189,H96 C76 O16
1504190,H88 C76 O16
1504206,H76 C64 O8
1504214,Si4 H160 C100 O20
1504215,Si4 H160 C108 O28
1504216,H96 C84 O24
1504228,H116 C92 S4 N4 O16
1504232,H124 C104 S4 N8 Cl4 O16
1504240,H107.032 C155.032 N8 Cl9.096 O16
1504241,H56 C46 S2 O6
1504244,H84 C92 S8 N4 O16
1504245,H92 C96 S8 N4 O20
1504249,Cu4 H108 C120 N36 Cl8 O32
1504255,Ni2 H156 Pd2 C128 S8 N12 Cl4 O24.0
1504256,Zn8 H216 C192 I8 N16 O24
1504262,H160 C240
1504264,H160 C168 Br8 N8 O32
1504269,H64 C96 N8 O16
1504270,Ni4 H97.044 C108 N8 Cl10.956 O16 F4
1504276,H76 C100 N20 Cl4 O10
1504277,H64 C60 I4 N4 O12
1504280,H80 C72 S8 N32 O8
1504281,H88 C120 Br8 N4 Cl12 O8
1504286,H80 C64 O24
1504292,H200 C176 S8 N8 O32
1504293,H120 C66 O12
1504306,Si4 H220 C120 N4 O16
1504309,H108 C108 S8 Br12 N8 O24
1504315,H100 C112 S4 N12 O20
1504316,H144 C144 N16 O48
1504320,H112 C88 N8 Cl8 O8
1504324,H24 C32 N4 O4 F12
1504330,H104 C96 S4 N8 O12
1504332,H84 C100 N4 O20
1504333,H104 C108 N8 O20
1504339,H64 C92 N4
1504357,H40 C20
1504360,Fe4 H40 C44 O4
1504376,H18 C50 N6 Cl6
1504389,H88 C48 O44
1504391,H120 C144
1504394,H4 C4 Cl12
1504395,H2 C2 Cl6
1504396,H2 C2 Br6
1504398,Mn6 H54 C64 S2 N6 Cl6 O24
1504406,H64 C88 N16
1504407,Cu8 H64 C24 N16 O24
1504411,P4 H60 Au4 C72 Cl4
1504424,P8 H180 Pt4 C192 S4 N4 Cl8 O12
1504429,B4 H76 C92 N8 O4
1504433,B2 H54 Ru2 C48 N12
1504437,H104 C72 S4 Br8 N8
1504438,H44 C69 Br4 O4
1504447,H80 C48 O28
1504448,H64 C48 O24
1504459,H140 C92 N4 O20
1504468,H64 C64 O28
1504471,H104 C76 O24
1504477,H176 C216 S8 O8
1504484,H88 C68 O12
1504488,H192 C128 O16
1504489,H32 C32 O8
1504491,H40 C44 S2 O14
1504493,H116 C108 S4 N12 O4
1504509,P4 H136 C124 N4 O8
1504512,H68 C76 N4 O12
1504514,Zn2 H164.0 C148 N14 Cl18
1504518,H144 C152 N8 O20
1504522,Si4 H140 C84 N4 O4
1504526,P2 H60 C84 N6 Cl4 O2
1504531,H164 C108 S4 N4 O32
1504537,H96.4 C134 Se2 N8 F30
1504540,H60 C68 S8 N4 O12
1504542,H144 C108 O48
1504546,H218 C194 S16 Cl6
1504554,B2 H44 C54 Cl6 O10
1504557,Si8 B8 H208 C216 N8 O24
1504558,H76 C64 N8 O16 F12
1504570,H240 C192 S16 N16 O32
1504576,H52 C36 O8
1504582,H68 C62 S4 N4 Cl4 O4
1504583,H40 C48 O8
1504584,H72 C52 O12
1504588,H96 C68 S4 Br4 N4 O12
1504591,P2 H62 C76 S2 N4 O4
1504594,H72 C68 S4 O4
1504595,H80 C72 S4 O4
1504599,H38 C52 S4 N10
1504607,H160 C136 N16 O16
1504611,H80 C34 Br10 N8 O8
1504613,H32 C16 N8 Cl4 O4
1504617,H48 C52 N16 O8
1504622,H50 C42 S2 F8
1504627,H68 C68 N4 O16
1504630,H42 C36 N4 Cl2 O12
1504632,H128 C184 Cl16 O8
1504635,H68 C92 Cl4 O8
1504638,H112 C88 I8 O24
1504647,H88 C104 N12 Cl4
1504651,H100 C104 Br4 N8 O4
1504653,H112 C108 N8 O4
1504656,Si4 H236 C152 Br4 O12
1504657,H108 C96 Br4 O4
1504658,H116 C96 Br4 O8
1504661,H80 C156 S8 N8 F24
1504672,H136 C84 O20
1504679,H120 C310 Br8 O28
1504685,H32 C36 N4 Cl4 O12
1504701,H52 C32 S8 N4 O8
1504703,H48 C48 O8
1504704,H104 C76 O8
1504710,H168 C168 N56
1504716,H8 C20 N2 O2 F6
1504724,H84.0 C80.0 S4 N4
1504725,H92 C80 S4 N4
1504729,H48 C72 Br4 N4 O20
1504731,P2 H62 C42 N2 Cl2 O12
1504732,H76 C88 Br8 O16
1504734,H62 C68 N8 O8
1504735,Si8 H176 C96 Br4 N4 O16
1504742,H192 C136 S8 Br8 N8 O8
1504750,H44 C36 I2 N2 O4
1504762,H108 C92 S4 N4 O20
1504763,H216 C184 S8 N8 O40
1504765,B2 H46 C62 Br4 N8 F4
1504775,H68 C84 N4 O12
1504777,H8 C24 S10 O4
1504778,Si8 H176 C120 S20 O16
1504793,H48 C40 N2 Cl2 O14
1504794,Si2 H40 C34 N12
1504796,H44 C50 N4 O6
1504799,H44 C46 N2 O12 F6
1504800,H79 C117.5 N8 Cl6 F24.0
1504802,Ag4 H72 C108 N8 Cl4 F8
1504805,Ag4 H104 C120 N8 Cl12 O8
1504810,H58 C90 N2 O8
1504813,H68 C60 S2 N4 O10.496
1504815,H44 C52 S4 I4 N8 O12
1504825,H32 C60 O4 F12
1504830,H56 C48 O8
1504831,H124 C100 N12 O20
1504834,B2 H82 C70 O14
1504837,Na2 H79 C75 N12 Cl2 O10
1504840,P2 H62 C58 N4 O5
1504843,Si2 H80 C84
1504845,H50 C38 S2 N2 O10
1504847,H52 C56 Br4 O16
1504849,H80 C104 N8 O20
1504850,H82 C52 N2 O30
1504853,H28 C43 S2 F10
1504865,H64 C80 O12
1504866,B4 P4 H68 C68 I4
1504868,B4 P4 H68 C68 Br4
1504871,P8 H80 C112
1504872,Si2 H72 C42 O6
1504875,H88 C60 O12
1504879,H56 C52 S2 Br2 N2 O12
1504880,H96 C104 S4 N4 Cl4 O16
1504885,H144.24 C153.06 N12 O15.06
1504886,H38 C42 N2 O6
1504891,H34 C34 N2 O8
1504893,H108 C96 N4 O24
1504896,H84 C76 N4 O32.346
1504899,H64 C36 Br2 N2 O8
1504902,H88 C64 O20
1504903,H34 C22 N2 O10
1504904,H48 C36 N8 O16
1504910,H64 C48 N4 Cl4 O4
1504911,H72 C52 N4 Cl4 O4
1504912,H96 C100 S8 Br4 N4 O12
1504915,H48 C58 O10
1504922,B4 H132.0 C80 O8
1504930,H92 C64 N4 O20
1504931,H104 C104 N8 O20
1504936,H64 C64 S4 O12
1504938,P16 H164 Pd4 C200 N12 F48
1504942,Na4 H80 C75.2 N9.4 Cl4 O28
1504943,H56 C52 O8
1504957,H60 C72 N8 O12
1504960,H112 C160 N32 O8
1504961,H76 C104 N12
1504968,P8 H80 Rh4 C36 Cl12 O8
1504974,H100 C112 N12
1504983,H30 C30 S4 N8 O12 F30
1504984,H24 C48 N16 F56
1504994,H40 C30 O4
1504995,H88 C64 O8
1505001,H48 C40 Br4 N12 O4
1505002,H64 C72 N16 O12
1505004,H52 C40 N4 O8
1505006,Fe4 H94 C74 S4 N8 Cl6.0 O12
1505007,B4 H136 C116 N12 O4
1505012,H80 C84 N12 Cl4 O8
1505013,H56 C72 N12 O8 F4
1505017,Cu4 H36 C40 S4 N20 Cl8 O3
1505022,H74 Pt2 C48 S2 N16 Cl2 O12
1505031,H128 C92 O32
1505032,H48 C30 N2 O3
1505033,H140 C112 N4 O24
1505037,H68 C88 N20 O8
1505040,H72 Os2 C70 N8 Cl4 O4
1505044,H180 Ru4 C144 N20 Cl8 O20
1505045,H62.4 C104
1505067,H42 C44 N2 Cl2 O14
1505068,H32 C42 N4 Cl8 O12
1505073,H64 C64 N24
1505086,H72 C28 N8 Cl8
1505101,H28 C56.0 Br4 N12 O4
1505102,H64 C96 S16 N16
1505103,Zn4 H40 C8 S8 N32 O24
1505114,H6 C18 F10
1505118,Al4 H220 C144 N8 O8
1505123,Al4 H108 C88 N8 O12
1505124,H100 C70 O4 F10
1505125,H124 C92 O8
1505126,Hf2 H108 C90 N4
1505129,H52 C64 N12 O4
1505134,H52 C92 I8 O16 F20
1505162,H92 C60 S6.0 N4
1505164,Ni4 H160 C176 Br8 N16 O16
1505169,H44 C32 S4
1505174,H32 C26 N8 O8
1505179,H48 C32 N20 O8
1505181,H52 C68 N8 O24 F12
1505185,H72 C52 N16 O40
1505187,H40 C16 O44
1505189,H44 C52 N8 O4
1505191,H80 C104 N16 O8
1505192,H36 C48 N8 O4
1505195,H112 C144 N16 O8
1505196,H18 C24 N4 O2
1505201,H72 C96 N16 O8
1505205,H40 C48 N16 O20
1505207,H24 C24 N12 O16
1505208,H36 C48 S4 N8 O16
1505210,H208 C160 N32 O40
1505211,H22 C24 N4 O6
1505213,H36 C46 N8 O6
1505217,H176 C176 O72
1505225,H96 C70 O34
1505231,H160 C112 O12
1505234,H76 C80 Br4 O4
1505235,H60 C88 N4 O4
1505246,H116 C96 N4 O20
1505247,Si4 H132 C68 N4 O16
1505251,H96 C88 Br16
1505252,H48 C44 Br8
1505253,H96 C88 Br16
1505255,H34 C40 I2 O8
1505257,Ni4 P4 H76.0 C48 S4
1505258,H80 C92 S4
1505264,H38 Ir2 C30 N2 Cl4 O2
1505267,H76 Ir4 C60 N4 Cl4 O4
1505274,H76 C64 N4 O16
1505283,H104 C88 N8 O28
1505286,P4 H108 C88 N12 O16 F24
1505287,H54 C42 N6 Cl2 O20
1505292,B8 H104 C96 Br8 N8
1505294,H38 C34 N2 O12
1505296,H160 C128 N16 O16
1505299,H64 C144 S48
1505303,H144 Pd4 C148 I8 N16 Cl8
1505304,Zn4 H168 C192 S8 N16 O16 F48
1505306,H96 C52 O20
1505308,H88 C68 O20
1505310,H84 C104 N4
1505311,H64 C52 S4 O8
1505312,H72 C56 S4 O8
1505321,P2 H26 C28 S2
1505322,B4 P4 H72 C60
1505326,H144 C132 O32
1505336,H48 C62 N4 Cl4 O4.0
1505350,H38 C48 Cl2
1505354,H132 C204 N20
1505356,H92 C116 N8 Cl4 O4
1505357,H124 C96 N4 O20
1505360,H92 C92 N4 O12
1505370,H132.0 C128 N20 O32
1505373,Si2 H42 C32 N2 O6
1505376,H44 C30 Cl4 O10
1505384,H36 C42 N4 O16
1505399,Ni2 H166 C152 N10 O8
1505407,H92 C80 S8 N12 O56
1505408,H192 C136 N32 O48
1505413,Si4 H132 C76 S2 O24
1505417,H132 C78 O18
1505420,H136 C124 O28 F8
1505421,H180 C168 N6 O36
1505427,H42 C38 S2 Br2 O10
1505428,H96 C84 S4 O16
1505433,H96 C100 O24
1505435,H42 C50 Br2 O14
1505443,H88 C106 N12 O22
1505448,H148.8 C212.8 N13.2 O32
1505449,H72 C96 N8 O16
1505453,H76 C52 N4 O4
1505454,H120 C80 N8 O8
1505458,Si2 H62 C52
1505461,H34 C32
1505468,Ag4 B4 H64 C84 N16 F8
1505470,H104 C92 S4 N8 O16
1505477,H192 C208 O32
1505482,Na6 La2 H168 C168 O24
1505485,H48 C40 N16 O24
1505487,Co2 Si4 Sb2 H211.92 C134.96 N4 O9.74 F12
1505492,B4 H72 C56 I4 Cl4 F20
1505496,H112 C88.0 S12 O8
1505498,H200.9 C177.9 O12
1505508,H70 C48 S4 N2 O12
1505513,H68 C60 Br8 N4 O8
1505517,H75.408 C89.704 Cl3.408 O12
1505531,H38 C34 Br2 O8
1505532,H80 C68 O20
1505543,P2 H46 C36 N2 O8 F12
1505549,H108 C70 O12
1505554,H96 C96 S4 N8 O20
1505564,H60 C66 S2 Br4 N4 O4
1505566,H48 C36 N4 O16
1505567,H56 C52 O12
1505568,H46 C26 Br2 N2 O8
1505574,Fe4 H160 C188 N8
1505577,Li4 P16 H192 C240 O44
1505578,H100 C64 S4 Br4 N8 O8
1505579,H132 C138 N24 O90
1505580,H268 C160 N8 O26
1505581,H48 C40 N4 Cl4 O4
1505584,H80 C56 N4 Cl4 O32
1505588,H124 C76 N4 O12
1505599,H120 C120 N8 O8
1505607,H96 C92 N8 O20
1505621,H44 C40 O8
1505622,H72 C68 O16
1505623,H68 C72 N4 O20
1505625,H224 C172 N24 Cl8 O24
1505629,H80 C76 N8 O12
1505642,H76 C112 N12 O48 F8
1505648,H20 C18 N2 O2 F6
1505650,H124 C84 S4 N4 O8
1505651,H72 C100 O16
1505652,H72 C56 S8 N4 O12 F12
1505655,H52 C56 N4 O12
1505656,H44 C56 N4 O12
1505657,P2 H104 C74 N2 O18 F12
1505658,Fe4 P4 H112 C128 N12
1505664,H96 C108 S4 O24
1505666,H140 C160 S8 N4 O24
1505668,H34 C44 S2 N6 O10 F8
1505677,H48 C56 N8
1505679,H32 C42 N6 O4 F2
1505686,H104 Ru4 C68 N8 Cl8
1505701,Na4 Ni4 H128 C88 S40 O32
1505702,Na2 Ni2 H64 C44 S20 O16
1505709,Ni3.8588 H44 Au0.1412 C80 S16 N24 O8
1505713,Ni2.6084 H44 Au1.3916 C80 S16 N24 O8
1505717,Ni1.0992 H44 Au2.9008 C80 S16 N24 O8
1505718,H44 Au4 C80 S16 N24 O8
1505731,Y4 H144 C40 Cl12 O52
1505748,Cu4 H108 C88 N4 O8
1505751,H52 C68
1505752,H68 C76
1505757,Cu6 H176 C104 S24 N28 O88 F72
1505763,Cu2 H72 C54 S4 N8 O22
1505777,Zn8 H184 C120 Br8 N16 O12
1505796,H152 C116 N4 O24
1505799,H140 C92 N4 O16
1505808,H80 C80 Br8 N8 O16
1505810,P16 H208 C248 O16
1505814,P2 H120 C95 N2 Cl2 O16 F12
1505815,Fe4 B4 P4 H100 C80 N4 O4
1505819,H128 C100 S4 N8 O28
1505821,H72 C68 S16 N24 O32 F48
1505838,H200 C184 S8 N8 O40 F16
1505852,H80 C76 O16
1505853,Si4 H84 C54 N4 O2
1505869,Si4 H180 C144 N4 O16
1505876,H100 C68 S4 N4 O12
1505877,H40 C42 N2 O10 F6
1505879,Si2 H62 C48 N2 O10
1505882,H68 C76 N4 O16
1505883,H32 C56 S8
1505884,H64 C112 S16
1505885,H136 C80 N8 O16
1505887,H72 C56 N8 O20
1505893,H80 C60 O16
1505901,H136 C124 O32
1505902,H112 C100 N8 O20
1505903,H120 C90 Br4 N8 Cl12 O16
1505906,H152 C176 S8 Br8 N16 O16
1505910,H56 C88 N16
1505913,H76.0 C56 O8
1505918,H176 C184 S8 O24
1505919,H88 C92 S4 O12
1505920,H72 C64 N4 O20 F4
1505922,H84 C72 N4 O16
1505928,H176 C160 N16 O40
1505929,H72 C88 N8 O24
1505933,B2 P4 H106 Rh2 C111 Cl6 O12 F8
1505939,H92 C76 N12 O28
1505945,H68 C52 S4 N4 O16
1505947,H68 C68 N4 O8
1505950,H76 C72 N4 O8
1505954,H192 C144 S8 O24
1505955,P1 H67 C54 S2 N2 O10
1505958,Si8 H192 C108 S4 O16
1505961,H68 C46 O34
1505971,Si4 H70 C40 N2 O4
1505987,H145.48 C124.74 S8 N8 Cl1.48 O36.0
1505988,H72 C62 N4 O18
1505989,H128 C136 N16 O8
1505990,Na4 Ni4 H128 C120 N8 Cl4 O52
1505993,Si2 H100 C64 S2 N2 O12
1505996,H30 C24 S6 N2 O4
1506004,Li2 B2 H60 C90 N8 Cl4 F8
1506005,P4 H72 C84 Br4 N4 O4 F12
1506007,H176 C112 N32 O24
1506011,B2 H88 C64 S2 N8 O2 F6
1506014,H128 C176 N32 O32
1506040,H160 C152 O32
1506041,H128 C136 O24
1506049,H88 C56 I6 Br8 N8 O8
1506050,H88 C56 I16 N8 O8
1506052,H50 C32 I2 N4 O10
1506053,H160 C96 N8 O4
1506054,H76 C46 N4 O2
1506056,H148 C96 N4 O12
1506058,Sn2 H82 C74 N2 O4
1506062,H64 C60 S4 N8 O12 F12
1506064,H124 C94 N8 Cl4 O6
1506068,H56 C72 N4 O12 F12
1506070,H56 C76 O12
1506071,H92 C76 N4 O28
1506077,H60 C52 N4 O16
1506082,Si8 H224 C120 S16 O16
1506087,Fe2 H40 C32 Br2 N2 O6
1506089,H16 C28 S4 N16
1506096,H78 C78 O30
1506099,H144 C132 S8 N16 O28
1506100,H72 C84 N8 O4
1506104,B8 H96 C112 N24
1506107,H48 C38 N4 O4
1506109,H82 C94 N6 O18
1506111,H150 C78 N6 O6
1506112,H112 C104 Br8 N16 O16
1506115,H112 C84 N4 Cl4 O12
1506118,H84 C76 S4 N4 O20
1506121,H64 C48 N8 O4
1506125,H84 C72 N4 O12
1506126,H84 C76 N4 O12
1506130,H248 C192 N8 O24
1506132,H168 C152 N8 O8
1506135,H96 C72 N4 O12
1506140,H164 C120 N16 O44
1506147,H240 C144 O32
1506148,H108 C96 N12 O16
1506158,H128 C148 N8 O28
1506160,H68 C76 S4 N4 O4
1506164,H200 C224 S8 N16 Cl24 O16
1506165,Na4 B4 H80 C28 O36
1506166,H72 C68 O24
1506168,H104 C92 O24
1506172,H40 C26 S4 N4 O10
1506174,H144 C104 S16 N16 O40
1506175,Si4 H168 C100 O12
1506177,H48 C40 O16
1506178,H56 C64 N8 O32
1506179,P2 H62 Pd2 C62 I2 N2
1506180,H64 C72 O16
1506182,H60 C44 N20 O20
1506184,H36 C32 N20 O8
1506188,H96 C136 N16 O16
1506189,H102 C138 N8 Cl18
1506197,H176 C200 S4 O4
1506198,H90 C120 N2
1506199,H68 C88 S4
1506201,H38 C46 S2 Cl4
1506202,H46 C38 S2 N2 O4
1506206,H46 C52 Br2 O10
1506209,H248 C200 N8 O24
1506210,H34 C28 S2 Cl2 O6
1506212,H60 C100 S4 N4 O8 F48
1506219,H76 C88 Br8 N4 O4
1506220,H48 C84 O8
1506229,H60 C52 Cl12 O4
1506231,H40 C40 O2
1506241,H56 C50 S2 N4 Cl4 O16
1506243,H152 C136 N8 O16
1506246,H60 C88 N12 O20
1506249,H40 C60 N8 O4
1506252,H68 C88 S4 N4 O16
1506254,Cu4 H88 C108 N20 Cl4 O16
1506255,Ni4 H92 C112 N20 Cl16 O16
1506261,H152 C96 N8 O16
1506266,H170 C124 N6 O28
1506283,H88 C92 N16 O20
1506285,H104 C74 N4 O14
1506288,H40 C28 S4 N12 Cl12 O4
1506289,H26 C36 N8
1506292,H84 C68 O24 F12
1506298,H64 C88 S4 N8 O4
1506307,H96 C128 N40 Cl8
1506310,H144 C120 N8 O12
1506322,Cu4 H120 C88 N24 Cl8 O8
1506335,Cu8 H120 C56 N8 O48
1506339,H32 C38 S2 N4 O4
1506347,H224 C168 O24
1506352,P2 H76 C56 N2 O12
1506353,H42 C46 N2 O8 F8
1506355,H128 Pt4 C88 N8 Cl8 O24
1506357,H60 Pt2 C48 N8 Cl4 O12
1506358,H48 Pt2 C40 N4 Cl4 O18
1506359,H174 C171 N6 O66
1506365,H16 C16 N6 O12
1506366,P4 H84 C76 N8 F24
1506372,H56 C28 N16 O12
1506388,H88 C96
1506390,Al8 P8 H32 C8 N4 O32 F4
1506393,Ni4 H44 C80 S16 I4 N20
1506398,Nb2 H26 C18 Cl8 O2
1506401,B4 H76 C76 N8 F8
1506403,B8 H136 C144 N16 F16
1506404,B4 H92 C80 N8
1506405,Cu2 B2 P4 H78 C98 N6 F8
1506407,Li8 H120 C56 S8 N8 O24 F24
1506408,H224 C160 S16 N32 O32
1506413,H128 C148
1506419,H40 C72 S4 N8
1506421,Zr4 H152 C136 Cl8
1506423,Li4 H176 C148 O12
1506425,Sn4 H104 C96 N8 Cl24 O16
1506427,Sn4 H92 C96 N8 Cl4 O8
1506428,Zn6 H140 C132 N8 O16
1506434,H88 C156 O24
1506438,H92 C82 Br4 O6
1506443,H64 C64 O28
1506444,H196 C112 N4 O16
1506451,H42.432 C28 S12 I4 Cl7.992
1506452,H18 C12 S6 I2
1506456,H88 C80 O24
1506460,H88 C68 N8 O24
1506461,H112 C72 N8 O24
1506462,H40 C80 F48
1506464,H40 C72 F32
1506467,H30 C34 N2 O6
1506475,H48 C52 Br8 O8
1506476,H64 C88 Br16 O24
1506478,H76 C76 N16 O16
1506479,H88 C68 O8
1506484,H120 C124 N8 O12
1506486,Si4 H152 C140 N8 O20
1506492,H76 C52 Br4 O12
1506496,H64 C104 N16 O48
1506499,H56 C60 N4 O14
1506500,H68 C68 Br4 O12
1506503,H40 C42 O2 F12
1506506,H8 C28 S4 F8
1506511,Cu2 H72 C56 N4 Cl4 O8
1506514,H72 C80
1506516,H176 C112 O16
1506541,H128 C80 O12
1506553,B2 P4 H162 Ru2 C156 N4 O4
1506555,H72 C80 Br4 Cl4 O4
1506558,H104 C78 O6
1506561,H152 C192.16 N16 O16
1506563,H36 C26 O6
1506565,H72 C48 N8 O8
1506578,Si2 H76 C50 O4
1506580,H108 C72 N4 O36
1506581,H58 C46 N2 O14
1506587,H240 C144 O48
1506589,H208 C124 O12
1506591,Si4 H12 C76 O4 F60
1506594,B2 H60 C62 I2 O12 F8.0
1506599,Si4 H92 C88 F16
1506600,Si4 H100 C88 Br8
1506601,H60 C40 N4 O16
1506602,H120 C108 S4 O28
1506606,H64 C56 O24
1506608,Ni4 H132 C80 S8 N20 O36 F24
1506620,H92 C60 N4 O4
1506623,H52 C52 N4 O8
1506625,H120 C128 O24
1506626,H64 C72 O10
1506630,H80 C60 S4 N8 O16
1506631,H72 C56 S4 O16
1506632,H48 C36 S2 O8
1506634,H152 C88 Br8 O16
1506635,H28 C50 S12 F12
1506636,H80 C56 O4
1506642,H18 C36 N18 O6
1506644,H68 C64 N4 O4
1506649,H108 C80 S8 N4 O8
1506650,H132 C156 N36 O40
1506651,B4 H44 C72 N8 Cl8 O8
1506652,H56 C100 Br8
1506653,H152 C128 N8 O16
1506659,H64 C52 S4 Br4 N4 O12
1506660,H92 C88 S4 N4 O16
1506661,H88 C104 O20
1506666,H56 C56 I8 F16
1506669,H40 C44 S4 Br4 N4
1506672,H58 C56 N2 O8
1506673,H56 C72 N8 O12 F16
1506679,H108 C80 N4 O16
1506684,H92 C50 O10
1506685,H96 C144 O48
1506687,H96 C76 N8 O16
1506689,B4 P4 H120.0 C120
1506691,H192 C140 Br4 N4 O16
1506692,H112 C72 O24
1506698,H160 C120 O24
1506701,H104 C88 S8 O4
1506702,H24 C22 S4 O4
1506703,H88 C68 S8 O12
1506704,H224 C120 I8 N8 O32
